ts,sat_raw,sat_smoothed,desired,current,predTTFT_s,actTTFT_s,actTPOT_s,req_total,ttft_viol,tpot_viol,running
21:58:41,0.5220738608042524,0.4479989945103896,3,3,0.3321095541894594,0.34077553446467096,0.03710705227995056,25285,,,157
21:59:12,0.6224594538419967,0.5003371323098718,3,3,0.33518428161077873,0.3457518021065631,0.03783700161599039,25416,,,165
21:59:42,0.6224594538419967,0.5003371323098718,3,3,0.3380407700482893,0.34541267872181397,0.03835647741879319,25526,,,130
22:00:13,0.5820214545580702,0.5248424289843312,3,3,0.3404001291167118,0.34379090348135494,0.036134181109274514,25660,,,127
22:00:43,0.5820214545580702,0.5248424289843312,3,3,0.3290196394361562,0.33955622209464925,0.0335872342453141,25761,,,109
22:01:13,0.4922711764201539,0.515071053215078,3,3,0.3267380051521921,0.3327384522594654,0.031703526028697956,25841,,,76
22:01:44,0.4922711764201539,0.515071053215078,3,3,0.3200468514019862,0.3222189332964897,0.028587053423050585,25928,,,87
22:02:14,0.44820876994034287,0.4950123682326574,3,3,0.313391300884005,0.32477267713678115,0.02848580132900248,26087,,,197
22:02:45,0.44820876994034287,0.4950123682326574,3,3,0.31086120859782873,0.3203484926533808,0.03924781009751314,26226,,,235
22:03:15,0.6113414263597677,0.5299110856707905,3,3,0.3521054227104789,0.35123279459940965,0.0457956645448219,26386,,,244
22:03:45,0.6113414263597677,0.5299110856707905,3,3,1.5762003015371122,1.8586904482808817,0.04931679642155019,26537,,,266
22:04:16,0.7996305162540772,0.6108269148457764,3,3,3.5982595449496335,4.1043297839370565,0.05205692718081017,26683,,,283
22:04:46,0.7996305162540772,0.6108269148457764,3,3,7.814118197399047,7.873798703682735,0.056024037498926295,26819,,,269
22:05:17,2.951811677961068,1.3131223437803639,5,3,11.166188599126922,11.774738639582903,0.060247502629765415,26958,,,298
22:05:47,2.951811677961068,1.3131223437803639,5,3,12.711224088405286,12.952108752590005,0.06153261180996825,27124,,,314
22:06:17,4.292932953369452,2.2070655266570904,8,4,13.000027146112302,14.029570632603193,0.06255126130628602,27276,,,321
22:06:48,4.292932953369452,2.2070655266570904,8,4,15.4337220882494,16.618570864636645,0.06534211006063168,27341,,,262
22:07:18,5.236924846175467,3.1160233225126035,8,5,16.429110143590858,23.585597099876487,0.0657373658671438,27341,,,15
22:07:49,5.236924846175467,3.1160233225126035,8,5,16.28249600074394,25.695659206064963,0.06339600146745467,27501,,,160
22:08:19,5.506374139178177,3.833128567512275,8,6,0.331207229802888,0.33555577353103283,0.03977034063245249,27684,,,262
22:08:49,5.506374139178177,3.833128567512275,8,6,0.34107852506836794,0.34224903058485273,0.04077265665320291,27849,,,243
22:09:20,0.7416096816721448,2.9056729017602354,8,7,0.35786265669829803,0.35402877196541976,0.03996246139697461,28026,,,216
22:09:50,0.7416096816721448,2.9056729017602354,8,7,0.3393758431206827,0.33831890516276425,0.035999092021687135,28194,,,184
22:10:21,0.4362323697577245,2.1648407421594817,8,8,0.31678198063412627,0.321920619177189,0.030884917582115767,28367,,,153
22:10:51,0.4362323697577245,2.1648407421594817,8,8,0.303527096908533,0.3109886183385626,0.02793608145465701,28578,,,199
22:11:21,0.340900900879611,1.6176587897755206,8,8,0.29825922782395115,0.30580581241855787,0.027513647830920494,28757,,,151
